epoch,drag_1_loss,drag_1_mae,drag_2_loss,drag_2_mae,flow_output_loss,flow_output_mae,learning_rate,lift_1_loss,lift_1_mae,lift_2_loss,lift_2_mae,loss,val_drag_1_loss,val_drag_1_mae,val_drag_2_loss,val_drag_2_mae,val_flow_output_loss,val_flow_output_mae,val_lift_1_loss,val_lift_1_mae,val_lift_2_loss,val_lift_2_mae,val_loss
0,0.8989726901054382,0.7824015021324158,0.9087244272232056,0.7641037106513977,0.07159139215946198,0.2140338122844696,3.354626301188546e-07,0.9665834307670593,0.7150912880897522,0.9582468867301941,0.7216216921806335,0.8469783663749695,0.70964115858078,0.6953580975532532,0.7943375110626221,0.716852068901062,0.061988409608602524,0.20123843848705292,0.8890315294265747,0.6826115846633911,0.9065085053443909,0.6942992210388184,0.7485904693603516
1,0.7081515789031982,0.6811277866363525,0.7284506559371948,0.6780308485031128,0.05719856545329094,0.1937239170074463,3.354626301188546e-07,0.8521066308021545,0.6605086922645569,0.8738435506820679,0.6781952977180481,0.7172948718070984,0.5346512794494629,0.5760311484336853,0.5997905731201172,0.6019219160079956,0.05356195196509361,0.18761204183101654,0.7582280039787292,0.6209543943405151,0.825172483921051,0.6525395512580872,0.6168705224990845
2,0.571115255355835,0.5902277231216431,0.5834115743637085,0.5880240797996521,0.051583267748355865,0.18390104174613953,3.354626301188546e-07,0.7155752778053284,0.5952335000038147,0.7889273762702942,0.6391178369522095,0.6034397482872009,0.4523005485534668,0.5177173018455505,0.4848766326904297,0.5313377380371094,0.050021056085824966,0.18073536455631256,0.608639657497406,0.5484642386436462,0.7517425417900085,0.6191811561584473,0.5219529867172241
3,0.500278890132904,0.540525496006012,0.5100011229515076,0.5410698652267456,0.047365810722112656,0.175725057721138,3.354626301188546e-07,0.5630011558532715,0.523285448551178,0.7087287902832031,0.6033211350440979,0.5181891918182373,0.40765130519866943,0.48683831095695496,0.43058305978775024,0.49773797392845154,0.04301372542977333,0.1664946973323822,0.4630541205406189,0.47718748450279236,0.6753195524215698,0.583830714225769,0.4490380585193634
4,0.45039689540863037,0.5086543560028076,0.4645022749900818,0.5141980648040771,0.038925234228372574,0.15457460284233093,3.354626301188546e-07,0.43996524810791016,0.46637263894081116,0.6309298872947693,0.5664399266242981,0.45069625973701477,0.3699372112751007,0.4634567201137543,0.3981550931930542,0.47474610805511475,0.03708052262663841,0.14778295159339905,0.3612242639064789,0.4266558587551117,0.600590169429779,0.548168420791626,0.39293697476387024
5,0.4026497006416321,0.4776219129562378,0.422794371843338,0.48864102363586426,0.03647426515817642,0.14542771875858307,3.354626301188546e-07,0.35212835669517517,0.4250187575817108,0.5521697402000427,0.5272476673126221,0.3928392827510834,0.3280305862426758,0.4332750737667084,0.35079601407051086,0.4466016888618469,0.035756707191467285,0.14275911450386047,0.290214866399765,0.390522837638855,0.5208654403686523,0.5072656273841858,0.3388047218322754
6,0.35450950264930725,0.444996178150177,0.37851402163505554,0.4604422152042389,0.03358965739607811,0.13799962401390076,3.354626301188546e-07,0.2915472090244293,0.39313653111457825,0.47455474734306335,0.48547297716140747,0.3406623601913452,0.2839231789112091,0.3994866609573364,0.30641552805900574,0.4168500304222107,0.027195895090699196,0.12408234924077988,0.2425345927476883,0.36091890931129456,0.4455541968345642,0.464043527841568,0.2903658151626587
7,0.3011418282985687,0.4064715802669525,0.3298461139202118,0.4266151189804077,0.024792008101940155,0.11431615799665451,3.354626301188546e-07,0.25127384066581726,0.3674607276916504,0.39801841974258423,0.4406171143054962,0.29054227471351624,0.22983090579509735,0.35674425959587097,0.26002275943756104,0.38059553503990173,0.023314541205763817,0.10796937346458435,0.2092917114496231,0.33576300740242004,0.3690407872200012,0.41894298791885376,0.2426733374595642
8,0.24658134579658508,0.3633650839328766,0.2785724997520447,0.387541264295578,0.02255011722445488,0.10529867559671402,3.354626301188546e-07,0.21697130799293518,0.3407689034938812,0.33055639266967773,0.39755210280418396,0.24360857903957367,0.1833249181509018,0.314532071352005,0.21073706448078156,0.3385472893714905,0.021693136543035507,0.1018553376197815,0.18174095451831818,0.3108362555503845,0.31086814403533936,0.3747493624687195,0.20167025923728943
9,0.1968129724264145,0.3201534152030945,0.22797095775604248,0.3447810709476471,0.021286658942699432,0.09994783997535706,3.354626301188546e-07,0.18793904781341553,0.3160170912742615,0.27270933985710144,0.3567204177379608,0.20135092735290527,0.13698364794254303,0.2664748430252075,0.16316421329975128,0.29198285937309265,0.020696060732007027,0.09695017337799072,0.1550532728433609,0.28532594442367554,0.2504086494445801,0.3333308696746826,0.16083179414272308
10,0.15120533108711243,0.2758101522922516,0.18046092987060547,0.3018084764480591,0.020353849977254868,0.09539385139942169,3.354626301188546e-07,0.1638510376214981,0.2933730185031891,0.2249053418636322,0.3205670416355133,0.1641305536031723,0.10309994965791702,0.2258005440235138,0.12233610451221466,0.2485409379005432,0.019712502136826515,0.09246187657117844,0.13558447360992432,0.26562726497650146,0.20611687004566193,0.3007082939147949,0.1295771300792694
11,0.11605244874954224,0.23927713930606842,0.14121481776237488,0.2636112868785858,0.019481470808386803,0.09122011065483093,3.354626301188546e-07,0.14380033314228058,0.27282068133354187,0.18560652434825897,0.2890976667404175,0.133949875831604,0.07325950264930725,0.18863947689533234,0.09269443154335022,0.21338923275470734,0.01906985603272915,0.08877784758806229,0.1201082170009613,0.24647071957588196,0.17521943151950836,0.2683427035808563,0.10569533705711365
12,0.09126249700784683,0.21092641353607178,0.1116127222776413,0.23170295357704163,0.01897992193698883,0.0881366953253746,3.354626301188546e-07,0.1272493153810501,0.2552736699581146,0.15543080866336823,0.26425281167030334,0.11114800721406937,0.0547996461391449,0.16323401033878326,0.07137243449687958,0.18668502569198608,0.018665120005607605,0.08612168580293655,0.10657428950071335,0.22990643978118896,0.14521503448486328,0.24441316723823547,0.08690783381462097
13,0.07399483770132065,0.19010446965694427,0.0906667560338974,0.20818671584129333,0.01861604116857052,0.0858098641037941,3.354626301188546e-07,0.11382745206356049,0.24023225903511047,0.1325339525938034,0.2443639189004898,0.09434182941913605,0.04376531019806862,0.1461440622806549,0.056122589856386185,0.16511376202106476,0.01834305375814438,0.08403037488460541,0.0959773138165474,0.21820051968097687,0.12223300337791443,0.22807982563972473,0.07340638339519501
14,0.06175599992275238,0.17335234582424164,0.07607386261224747,0.19086302816867828,0.01833646185696125,0.08399444073438644,3.354626301188546e-07,0.10257070511579514,0.2273864597082138,0.11471252143383026,0.2287108451128006,0.08173404633998871,0.03645443916320801,0.1353876143693924,0.046426936984062195,0.14959631860256195,0.018111685290932655,0.08242115378379822,0.08771008998155594,0.2047518640756607,0.10671019554138184,0.21318508684635162,0.06420403718948364
15,0.05298672616481781,0.1611415594816208,0.0647185742855072,0.17567041516304016,0.018133142963051796,0.08258135616779327,3.354626301188546e-07,0.09276074916124344,0.21546876430511475,0.1014118567109108,0.215896338224411,0.07198580354452133,0.03135434910655022,0.12703414261341095,0.0395047552883625,0.13801546394824982,0.017938274890184402,0.08111101388931274,0.08043587952852249,0.1952911615371704,0.09388944506645203,0.20128513872623444,0.0569603256881237
16,0.04589550569653511,0.15000805258750916,0.0561564601957798,0.16372376680374146,0.01797209121286869,0.08142188936471939,3.354626301188546e-07,0.0848640501499176,0.20580123364925385,0.09063290804624557,0.20538045465946198,0.06424572318792343,0.029595447704195976,0.12369334697723389,0.03494972363114357,0.13014818727970123,0.017784923315048218,0.08006560057401657,0.07684677839279175,0.18999211490154266,0.08647157996892929,0.19188924133777618,0.0530477911233902
17,0.04008667171001434,0.1401454657316208,0.049181096255779266,0.1531716287136078,0.017795845866203308,0.08035999536514282,3.354626301188546e-07,0.07838226109743118,0.19733166694641113,0.08146136999130249,0.19550980627536774,0.05782970413565636,0.025136342272162437,0.11425916105508804,0.03074673004448414,0.12118667364120483,0.017564281821250916,0.07909590750932693,0.07035177946090698,0.17941971123218536,0.07656342536211014,0.18217439949512482,0.04738602042198181
18,0.03542843088507652,0.13183559477329254,0.04330633953213692,0.14368930459022522,0.01712082140147686,0.07923044264316559,3.354626301188546e-07,0.07246242463588715,0.18859218060970306,0.07402393221855164,0.18666648864746094,0.052386801689863205,0.0232393778860569,0.11045675724744797,0.028444303199648857,0.11697061359882355,0.016244906932115555,0.07773823291063309,0.06494192034006119,0.17180311679840088,0.06947320699691772,0.1737450510263443,0.04349672794342041
19,0.03111974522471428,0.12382553517818451,0.0382874496281147,0.1351805180311203,0.015387448482215405,0.0765249952673912,3.354626301188546e-07,0.06663094460964203,0.18080975115299225,0.06755848228931427,0.17791712284088135,0.047348033636808395,0.020842863246798515,0.10377231240272522,0.025444624945521355,0.11048690229654312,0.014678418636322021,0.07368427515029907,0.06089707463979721,0.16407884657382965,0.06363160163164139,0.16624300181865692,0.039901480078697205
20,0.02763928845524788,0.1167389526963234,0.034119606018066406,0.12825967371463776,0.014542773365974426,0.07302679866552353,3.354626301188546e-07,0.061936769634485245,0.17302919924259186,0.061185404658317566,0.16946673393249512,0.04305253177881241,0.02038412354886532,0.10402185469865799,0.02330373413860798,0.10587768256664276,0.014256543479859829,0.07112614065408707,0.056470416486263275,0.15813852846622467,0.05772654712200165,0.16005346179008484,0.03694973140954971
21,0.024700243026018143,0.11054541915655136,0.030165551230311394,0.12064440548419952,0.014216048642992973,0.07089253515005112,3.354626301188546e-07,0.057436276227235794,0.16615812480449677,0.0559324286878109,0.16166868805885315,0.03927438706159592,0.017996160313487053,0.09595610946416855,0.021436499431729317,0.10313621908426285,0.014004867523908615,0.06926701217889786,0.05400438979268074,0.1570000946521759,0.05288947373628616,0.15170851349830627,0.03432394936680794
22,0.022081172093749046,0.1049170270562172,0.026978470385074615,0.11473360657691956,0.013997008092701435,0.06931718438863754,3.354626301188546e-07,0.05361258611083031,0.1596442461013794,0.05141448974609375,0.15489031374454498,0.03606921806931496,0.016877975314855576,0.09252268821001053,0.020765895023941994,0.10097681730985641,0.013817867264151573,0.06796945631504059,0.05110897123813629,0.1482209712266922,0.05200740694999695,0.1502869427204132,0.03305284306406975
23,0.02012816071510315,0.10042799264192581,0.024570029228925705,0.1097697913646698,0.013826122507452965,0.06804890930652618,3.354626301188546e-07,0.04946984350681305,0.15230108797550201,0.046920906752347946,0.1474074274301529,0.033127617090940475,0.016403738409280777,0.09102625399827957,0.019048476591706276,0.09732252359390259,0.013667874038219452,0.06679145991802216,0.04709503799676895,0.14312240481376648,0.04701627418398857,0.14418181777000427,0.03051857464015484
24,0.018343718722462654,0.09621191769838333,0.021977797150611877,0.10417676717042923,0.013693022541701794,0.06698470562696457,3.354626301188546e-07,0.04603802040219307,0.14624524116516113,0.043064869940280914,0.14089392125606537,0.030489807948470116,0.015145009383559227,0.08695604652166367,0.01766924373805523,0.094607874751091,0.013556613586843014,0.06580091267824173,0.04340183362364769,0.1339467167854309,0.04208565130829811,0.13422134518623352,0.02797354757785797
25,0.016768328845500946,0.09215084463357925,0.02015629969537258,0.10009937733411789,0.013579943217337132,0.06606616079807281,3.354626301188546e-07,0.042873814702034,0.1407083123922348,0.039476361125707626,0.1343686729669571,0.028194844722747803,0.014570269733667374,0.08488103002309799,0.016020765528082848,0.08879590779542923,0.013435869477689266,0.06498772650957108,0.04113564267754555,0.13090267777442932,0.03720680624246597,0.12627184391021729,0.02585362084209919
26,0.0155149782076478,0.08909275382757187,0.018441030755639076,0.09607020020484924,0.01345057226717472,0.06521875411272049,3.354626301188546e-07,0.04025459662079811,0.135178342461586,0.03631219267845154,0.12893353402614594,0.026212699711322784,0.013205082155764103,0.08016414940357208,0.015571811236441135,0.0887317806482315,0.013318214565515518,0.06407172232866287,0.03977475315332413,0.1269775778055191,0.03435298427939415,0.12063319981098175,0.024485358968377113
27,0.014310437254607677,0.08578690141439438,0.016919871792197227,0.09231775999069214,0.013336724601686,0.06445248425006866,3.354626301188546e-07,0.03719840198755264,0.1295861005783081,0.033727940171957016,0.12350703030824661,0.024318911135196686,0.012665933929383755,0.0793495774269104,0.01425971370190382,0.08434521406888962,0.01322143990546465,0.0634094774723053,0.03697793558239937,0.11975333094596863,0.03212905302643776,0.11917473375797272,0.022929491475224495
28,0.01324545219540596,0.08302029967308044,0.015725789591670036,0.08893387019634247,0.013244887813925743,0.06382385641336441,3.354626301188546e-07,0.034742068499326706,0.12407279759645462,0.03131382167339325,0.11893102526664734,0.02270558290183544,0.013005397282540798,0.08077937364578247,0.01343294233083725,0.08193197101354599,0.013142944313585758,0.06283348798751831,0.03460288420319557,0.11515451967716217,0.03334399312734604,0.12868928909301758,0.022550970315933228
29,0.012361071072518826,0.08029317855834961,0.014576883055269718,0.08627241104841232,0.013151969760656357,0.06324596703052521,3.354626301188546e-07,0.032472383230924606,0.11939266324043274,0.029224252328276634,0.11484082043170929,0.021257948130369186,0.011877370066940784,0.0776757076382637,0.012922050431370735,0.08143121004104614,0.01304570585489273,0.06225943565368652,0.033449143171310425,0.11223877221345901,0.028722399845719337,0.11051280796527863,0.020873038098216057
30,0.011685849167406559,0.07842815667390823,0.013642332516610622,0.08358802646398544,0.01307189092040062,0.06270644068717957,3.354626301188546e-07,0.030612720176577568,0.1149291843175888,0.02721255086362362,0.11058808863162994,0.020016692578792572,0.010762668214738369,0.07288382202386856,0.012279587797820568,0.07837705314159393,0.012980852276086807,0.061825066804885864,0.031060099601745605,0.10751476883888245,0.026793276891112328,0.10665950924158096,0.019499601796269417
